date,year,month,day,region,country,category,medicine,age_group,units_sold,unit_price,stock_level,expiry_days_remaining,covid_flag
2020-01-24,2020,1,24,Middle East,Saudi Arabia,Pain_Relief,Ibuprofen,26-45,453,7.64,1111,648,1
2024-05-24,2024,5,24,Oceania,Australia,Chronic,Omeprazole,26-45,478,37.89,733,321,0
2022-08-06,2022,8,6,Europe,Germany,Respiratory,Salbutamol,26-45,151,16.69,1561,715,1
2021-05-06,2021,5,6,Europe,Italy,Cardiovascular,Amlodipine,46-65,216,26.17,109,510,1
2023-03-27,2023,3,27,South America,Colombia,Diabetes,Metformin,65+,424,16.87,1004,479,0
2022-07-05,2022,7,5,South America,Colombia,Cardiovascular,Amlodipine,26-45,454,23.11,644,291,1
2024-10-01,2024,10,1,South America,Brazil,Cough_Cold,Cough Syrup,13-25,148,13.05,1555,617,0
2022-10-11,2022,10,11,South America,Argentina,Diabetes,Metformin,46-65,226,15.02,601,648,1
2025-04-18,2025,4,18,Europe,UK,Chronic,Omeprazole,13-25,112,34.07,297,133,0
2023-05-08,2023,5,8,South America,Argentina,Diabetes,Metformin,65+,275,14.55,514,663,0
2022-11-05,2022,11,5,Middle East,UAE,Pain_Relief,Ibuprofen,26-45,346,7.12,435,363,1
2021-09-20,2021,9,20,North America,USA,Antibiotic,Azithromycin,26-45,184,26.69,12,118,1
2025-03-03,2025,3,3,Middle East,Saudi Arabia,Chronic,Omeprazole,46-65,20,45.34,1754,662,0
2021-08-16,2021,8,16,Middle East,Saudi Arabia,Cardiovascular,Amlodipine,26-45,156,23.69,1357,892,1
2021-05-21,2021,5,21,Africa,Nigeria,Chronic,Omeprazole,65+,226,46.21,1188,792,1
2020-06-04,2020,6,4,East Asia,China,Vitamin,Vitamin C,46-65,112,9.71,1057,895,1
2021-12-14,2021,12,14,East Asia,South Korea,Chronic,Omeprazole,26-45,130,39.11,1219,267,1
2025-03-01,2025,3,1,South Asia,India,Cough_Cold,Cough Syrup,13-25,180,13.43,254,848,0
2021-09-16,2021,9,16,Middle East,Saudi Arabia,Cardiovascular,Atorvastatin,26-45,156,21.85,1896,81,1
2023-05-04,2023,5,4,Africa,Nigeria,Respiratory,Salbutamol,13-25,64,23.66,1164,68,0
2024-09-18,2024,9,18,Oceania,New Zealand,Cardiovascular,Atorvastatin,65+,311,24.35,240,860,0
2023-12-28,2023,12,28,South Asia,India,Cough_Cold,Cough Syrup,65+,295,11.01,261,226,0
2022-09-12,2022,9,12,East Asia,China,Antibiotic,Azithromycin,46-65,105,29.54,760,858,1
2020-09-24,2020,9,24,Europe,Italy,Antibiotic,Amoxicillin,13-25,164,32.94,1767,658,1
2025-03-08,2025,3,8,North America,USA,Chronic,Omeprazole,65+,285,41.06,1598,871,0
2021-11-05,2021,11,5,Europe,Germany,Diabetes,Metformin,46-65,81,14.73,1396,977,1
2025-04-08,2025,4,8,South Asia,India,Chronic,Omeprazole,65+,352,43.93,1569,593,0
2021-03-07,2021,3,7,Europe,France,Respiratory,Salbutamol,46-65,231,23.17,1078,890,1
2024-08-15,2024,8,15,North America,USA,Pain_Relief,Paracetamol,13-25,489,8.51,704,995,0
2021-05-26,2021,5,26,South Asia,India,Diabetes,Metformin,0-12,325,16.14,1373,44,1
2023-10-05,2023,10,5,South America,Argentina,Vitamin,Vitamin C,13-25,100,11.12,686,522,0
2025-11-01,2025,11,1,Europe,UK,Chronic,Omeprazole,46-65,484,36.94,356,741,0
2020-12-16,2020,12,16,Oceania,Australia,Cough_Cold,Cough Syrup,0-12,147,12.89,721,652,1
2022-08-19,2022,8,19,Oceania,Australia,Antibiotic,Amoxicillin,26-45,215,33.12,103,846,1
2021-08-31,2021,8,31,North America,Mexico,Cardiovascular,Atorvastatin,46-65,461,24.99,776,119,1
2022-10-01,2022,10,1,South America,Colombia,Vitamin,Vitamin C,13-25,255,9.87,624,681,1
2021-03-29,2021,3,29,Europe,Italy,Antibiotic,Amoxicillin,26-45,361,32.11,237,894,1
2022-11-08,2022,11,8,Africa,Nigeria,Cardiovascular,Amlodipine,65+,50,27.42,312,899,1
2025-11-09,2025,11,9,Europe,France,Cough_Cold,Cough Syrup,0-12,31,11.68,1922,884,0
2021-01-29,2021,1,29,North America,Canada,Cardiovascular,Atorvastatin,46-65,209,26.05,1118,663,1
2021-11-04,2021,11,4,Oceania,Australia,Respiratory,Salbutamol,26-45,64,21.08,1632,916,1
2023-08-31,2023,8,31,North America,Canada,Diabetes,Metformin,26-45,80,15.61,1525,962,0
2021-12-17,2021,12,17,East Asia,Japan,Respiratory,Salbutamol,26-45,110,16.41,601,806,1
2025-11-29,2025,11,29,North America,Mexico,Vitamin,Vitamin C,13-25,297,9.5,54,935,0
2021-01-07,2021,1,7,East Asia,Japan,Cardiovascular,Amlodipine,0-12,265,23.31,93,613,1
2025-08-23,2025,8,23,South America,Colombia,Vitamin,Vitamin C,26-45,137,9.3,294,513,0
2021-04-23,2021,4,23,Middle East,UAE,Diabetes,Metformin,65+,409,12.99,1066,950,1
2023-11-06,2023,11,6,South Asia,India,Chronic,Omeprazole,0-12,333,37.16,984,745,0
2020-12-13,2020,12,13,North America,USA,Respiratory,Salbutamol,13-25,348,18.18,625,482,1
2020-05-27,2020,5,27,Africa,Nigeria,Respiratory,Salbutamol,26-45,365,23.66,630,652,1
2020-10-09,2020,10,9,East Asia,Japan,Respiratory,Salbutamol,65+,414,23.12,196,111,1
2021-02-03,2021,2,3,Africa,South Africa,Antibiotic,Azithromycin,65+,160,35.17,370,651,1
2020-03-17,2020,3,17,Middle East,Saudi Arabia,Respiratory,Salbutamol,13-25,166,21.11,309,472,1
2022-10-06,2022,10,6,Africa,South Africa,Diabetes,Metformin,26-45,382,14.53,48,580,1
2025-05-26,2025,5,26,Africa,Nigeria,Diabetes,Metformin,65+,264,12.26,1611,908,0
2022-09-14,2022,9,14,South America,Brazil,Cough_Cold,Cough Syrup,0-12,315,10.57,1162,957,1
2025-11-10,2025,11,10,South America,Argentina,Respiratory,Salbutamol,26-45,133,22.48,675,222,0
2023-02-04,2023,2,4,South America,Argentina,Cough_Cold,Cough Syrup,0-12,142,9.9,776,449,0
2025-07-31,2025,7,31,North America,USA,Diabetes,Metformin,46-65,105,15.9,209,137,0
2025-01-08,2025,1,8,North America,USA,Respiratory,Salbutamol,26-45,69,21.66,1260,406,0
2025-09-19,2025,9,19,Africa,South Africa,Vitamin,Vitamin C,46-65,458,10.49,703,432,0
2021-08-01,2021,8,1,Africa,South Africa,Cardiovascular,Atorvastatin,65+,319,25.52,164,975,1
2020-06-23,2020,6,23,South America,Brazil,Cardiovascular,Amlodipine,65+,493,22.05,414,585,1
2024-06-18,2024,6,18,North America,Canada,Cardiovascular,Amlodipine,26-45,168,29.88,532,433,0
2021-12-12,2021,12,12,Europe,Germany,Pain_Relief,Ibuprofen,26-45,206,8.01,653,967,1
2020-11-27,2020,11,27,East Asia,Japan,Antibiotic,Azithromycin,26-45,365,30.42,1251,151,1
2023-12-31,2023,12,31,Europe,Italy,Respiratory,Salbutamol,46-65,333,18.66,528,984,0
2024-09-28,2024,9,28,South America,Argentina,Pain_Relief,Ibuprofen,65+,57,8.42,125,504,0
2025-02-22,2025,2,22,North America,Mexico,Cough_Cold,Cough Syrup,0-12,409,12.11,226,992,0
2023-11-18,2023,11,18,Middle East,Saudi Arabia,Chronic,Omeprazole,26-45,192,32.03,774,924,0
2020-08-03,2020,8,3,South America,Colombia,Vitamin,Vitamin C,26-45,44,9.52,1215,798,1
2025-03-30,2025,3,30,East Asia,China,Vitamin,Vitamin C,13-25,330,11.5,1526,726,0
2024-10-01,2024,10,1,Europe,Germany,Vitamin,Vitamin C,13-25,274,10.72,1452,948,0
2022-11-18,2022,11,18,North America,Canada,Vitamin,Vitamin C,46-65,170,9.64,1368,927,1
2021-12-01,2021,12,1,Africa,South Africa,Diabetes,Metformin,65+,141,12.62,29,313,1
2021-07-18,2021,7,18,North America,Canada,Chronic,Omeprazole,26-45,493,43.47,488,810,1
2023-02-17,2023,2,17,Oceania,Australia,Respiratory,Salbutamol,26-45,320,17.3,1472,416,0
2022-06-29,2022,6,29,Europe,Germany,Chronic,Omeprazole,46-65,12,38.4,1788,593,1
2025-07-16,2025,7,16,East Asia,Japan,Vitamin,Vitamin C,13-25,414,9.6,13,751,0
2023-10-05,2023,10,5,North America,Canada,Pain_Relief,Paracetamol,13-25,133,7.67,1297,315,0
2024-07-03,2024,7,3,Middle East,UAE,Cardiovascular,Atorvastatin,26-45,281,21.51,391,117,0
2024-01-06,2024,1,6,Europe,Italy,Vitamin,Vitamin C,0-12,33,10.44,516,657,0
2024-03-21,2024,3,21,Oceania,Australia,Vitamin,Vitamin C,0-12,160,8.09,1184,227,0
2022-06-14,2022,6,14,South Asia,India,Vitamin,Vitamin C,26-45,439,11.03,1138,436,1
2023-09-26,2023,9,26,Oceania,Australia,Vitamin,Vitamin C,26-45,149,9.69,183,183,0
2021-08-16,2021,8,16,South Asia,India,Respiratory,Salbutamol,65+,422,20.51,792,989,1
2023-10-23,2023,10,23,Europe,France,Cardiovascular,Atorvastatin,13-25,56,20.04,1684,155,0
2020-05-16,2020,5,16,South America,Argentina,Antibiotic,Azithromycin,13-25,101,28.31,1598,472,1
2020-03-24,2020,3,24,East Asia,China,Cough_Cold,Cough Syrup,65+,61,11.14,988,179,1
2020-09-16,2020,9,16,South Asia,Bangladesh,Antibiotic,Azithromycin,13-25,389,28.38,1387,286,1
2024-02-20,2024,2,20,Africa,Nigeria,Diabetes,Metformin,46-65,250,16.6,1376,88,0
2020-03-06,2020,3,6,East Asia,China,Pain_Relief,Paracetamol,46-65,404,7.31,1485,824,1
2024-03-01,2024,3,1,Africa,South Africa,Antibiotic,Amoxicillin,65+,256,26.66,776,537,0
2024-05-18,2024,5,18,South America,Colombia,Diabetes,Metformin,65+,448,14.34,240,567,0
2024-05-29,2024,5,29,North America,USA,Cough_Cold,Cough Syrup,13-25,291,11.78,911,553,0
2024-11-09,2024,11,9,Europe,Italy,Vitamin,Vitamin C,13-25,408,8.8,37,114,0
2022-02-27,2022,2,27,North America,Canada,Respiratory,Salbutamol,26-45,338,21.26,1574,410,1
2024-05-05,2024,5,5,Europe,France,Chronic,Omeprazole,65+,435,44.5,510,247,0
2021-07-02,2021,7,2,Europe,UK,Cough_Cold,Cough Syrup,0-12,462,12.53,1195,94,1
2020-01-20,2020,1,20,North America,USA,Chronic,Omeprazole,0-12,42,34.3,257,269,1
2024-01-31,2024,1,31,Middle East,Saudi Arabia,Chronic,Omeprazole,65+,261,34.52,616,99,0
2023-05-04,2023,5,4,South Asia,Bangladesh,Chronic,Omeprazole,26-45,394,33.69,1352,381,0
2020-11-15,2020,11,15,Africa,Nigeria,Cardiovascular,Amlodipine,26-45,199,23.54,734,160,1
2024-07-20,2024,7,20,North America,Mexico,Vitamin,Vitamin C,0-12,185,8.13,83,790,0
2021-09-25,2021,9,25,South Asia,India,Chronic,Omeprazole,65+,387,32.4,1671,983,1
2021-03-21,2021,3,21,South Asia,India,Respiratory,Salbutamol,0-12,450,17.44,46,150,1
2022-12-08,2022,12,8,Europe,France,Chronic,Omeprazole,13-25,216,33.41,1466,320,1
2022-01-11,2022,1,11,Middle East,Saudi Arabia,Vitamin,Vitamin C,13-25,337,8.95,228,257,1
2022-12-16,2022,12,16,Africa,South Africa,Cough_Cold,Cough Syrup,0-12,202,13.04,873,68,1
2025-11-16,2025,11,16,Europe,UK,Antibiotic,Amoxicillin,46-65,166,32.99,257,241,0
2023-11-19,2023,11,19,South America,Brazil,Cough_Cold,Cough Syrup,13-25,361,10.61,1150,500,0
2020-11-24,2020,11,24,South Asia,India,Chronic,Omeprazole,46-65,73,42.25,340,532,1
2024-02-08,2024,2,8,East Asia,South Korea,Diabetes,Metformin,13-25,128,16.69,68,116,0
2025-11-25,2025,11,25,North America,USA,Respiratory,Salbutamol,26-45,383,17.95,34,846,0
2022-01-08,2022,1,8,Europe,Germany,Pain_Relief,Ibuprofen,26-45,485,9.4,940,428,1
2021-02-27,2021,2,27,East Asia,Japan,Respiratory,Salbutamol,46-65,444,21.54,973,726,1
2021-05-04,2021,5,4,Africa,South Africa,Vitamin,Vitamin C,0-12,494,11.6,29,50,1
2021-08-01,2021,8,1,Europe,UK,Diabetes,Metformin,65+,108,13.55,1155,150,1
2025-02-16,2025,2,16,Europe,UK,Vitamin,Vitamin C,0-12,300,11.65,124,528,0
2021-04-01,2021,4,1,South America,Colombia,Vitamin,Vitamin C,0-12,389,9.32,1423,827,1
2025-11-08,2025,11,8,Europe,UK,Antibiotic,Azithromycin,65+,364,35.37,17,596,0
2020-12-03,2020,12,3,Oceania,New Zealand,Vitamin,Vitamin C,0-12,59,11.9,822,863,1
2023-06-07,2023,6,7,South America,Colombia,Vitamin,Vitamin C,13-25,80,10.14,1468,860,0
2025-06-13,2025,6,13,Europe,Germany,Diabetes,Metformin,26-45,226,14.31,810,963,0
2025-04-08,2025,4,8,North America,USA,Respiratory,Salbutamol,13-25,196,18.74,853,611,0
2020-09-04,2020,9,4,East Asia,South Korea,Respiratory,Salbutamol,0-12,377,23.76,1181,361,1
2021-12-20,2021,12,20,South Asia,India,Antibiotic,Amoxicillin,13-25,236,33.21,647,650,1
2022-05-10,2022,5,10,Oceania,New Zealand,Cardiovascular,Amlodipine,65+,191,22.08,1464,409,1
2021-05-07,2021,5,7,Middle East,Saudi Arabia,Vitamin,Vitamin C,65+,174,10.37,178,709,1
2024-11-28,2024,11,28,East Asia,Japan,Cough_Cold,Cough Syrup,13-25,191,12.39,13,80,0
2023-01-31,2023,1,31,Middle East,Saudi Arabia,Vitamin,Vitamin C,65+,230,10.02,6,147,0
2020-06-15,2020,6,15,Africa,South Africa,Vitamin,Vitamin C,26-45,231,10.58,1434,65,1
2023-04-01,2023,4,1,North America,USA,Chronic,Omeprazole,65+,80,36.87,329,492,0
2025-10-09,2025,10,9,Europe,Italy,Vitamin,Vitamin C,13-25,404,8.85,1071,66,0
2024-11-23,2024,11,23,North America,Canada,Diabetes,Metformin,46-65,495,12.84,1299,272,0
2020-04-02,2020,4,2,South Asia,India,Vitamin,Vitamin C,13-25,13,10.14,444,382,1
2024-10-23,2024,10,23,Europe,Italy,Diabetes,Metformin,65+,233,15.1,434,850,0
2020-07-18,2020,7,18,South America,Argentina,Cardiovascular,Amlodipine,26-45,480,29.89,131,37,1
2023-11-07,2023,11,7,Middle East,UAE,Diabetes,Metformin,0-12,47,13.79,762,893,0
2023-02-19,2023,2,19,South America,Brazil,Diabetes,Metformin,65+,188,14.96,931,526,0
2025-04-29,2025,4,29,South Asia,India,Antibiotic,Amoxicillin,26-45,484,32.29,871,474,0
2021-10-13,2021,10,13,Middle East,Saudi Arabia,Vitamin,Vitamin C,13-25,370,8.74,1477,751,1
2020-02-04,2020,2,4,North America,USA,Chronic,Omeprazole,65+,491,35.39,634,488,1
2022-11-06,2022,11,6,South America,Brazil,Antibiotic,Azithromycin,46-65,433,26.67,39,804,1
2024-09-21,2024,9,21,Oceania,Australia,Respiratory,Salbutamol,46-65,119,23.18,1780,590,0
2020-09-08,2020,9,8,East Asia,South Korea,Antibiotic,Amoxicillin,13-25,135,35.38,1185,906,1
2020-07-11,2020,7,11,Middle East,UAE,Cough_Cold,Cough Syrup,0-12,331,9.92,1264,359,1
2020-01-30,2020,1,30,South America,Colombia,Antibiotic,Amoxicillin,46-65,422,31.58,1077,724,1
2022-06-06,2022,6,6,Africa,South Africa,Antibiotic,Azithromycin,0-12,237,35.23,4,504,1
2021-11-16,2021,11,16,Oceania,New Zealand,Diabetes,Metformin,26-45,365,14.62,50,925,1
2025-09-12,2025,9,12,South Asia,India,Respiratory,Salbutamol,26-45,412,21.28,548,119,0
2021-11-24,2021,11,24,Oceania,Australia,Respiratory,Salbutamol,13-25,404,20.0,1144,83,1
2022-02-12,2022,2,12,Oceania,Australia,Respiratory,Salbutamol,65+,425,19.58,184,825,1
2024-11-11,2024,11,11,East Asia,China,Vitamin,Vitamin C,0-12,321,11.05,521,668,0
2021-11-16,2021,11,16,North America,USA,Respiratory,Salbutamol,65+,428,20.71,453,799,1
2023-10-16,2023,10,16,Middle East,Saudi Arabia,Respiratory,Salbutamol,26-45,293,19.53,1747,345,0
2021-04-05,2021,4,5,Europe,Italy,Vitamin,Vitamin C,13-25,346,11.2,127,335,1
2022-12-21,2022,12,21,East Asia,South Korea,Respiratory,Salbutamol,13-25,51,22.12,1340,765,1
2021-03-10,2021,3,10,Middle East,UAE,Respiratory,Salbutamol,26-45,489,20.28,687,714,1
2022-02-26,2022,2,26,East Asia,South Korea,Cardiovascular,Atorvastatin,46-65,247,27.41,163,991,1
2022-04-21,2022,4,21,East Asia,China,Cardiovascular,Amlodipine,46-65,64,24.92,1162,626,1
2020-12-30,2020,12,30,Middle East,UAE,Antibiotic,Azithromycin,46-65,260,33.05,1427,613,1
2024-11-27,2024,11,27,Africa,Nigeria,Diabetes,Metformin,65+,79,15.2,1559,846,0
2020-01-15,2020,1,15,South Asia,Bangladesh,Cardiovascular,Amlodipine,13-25,433,20.99,826,756,1
2023-04-19,2023,4,19,Oceania,Australia,Cardiovascular,Atorvastatin,26-45,377,23.16,1233,407,0
2022-06-29,2022,6,29,Middle East,Saudi Arabia,Diabetes,Metformin,46-65,122,14.69,1740,487,1
2021-10-09,2021,10,9,Middle East,Saudi Arabia,Respiratory,Salbutamol,65+,88,18.72,616,199,1
2024-12-12,2024,12,12,East Asia,Japan,Chronic,Omeprazole,65+,49,42.54,104,566,0
2023-12-22,2023,12,22,South America,Brazil,Respiratory,Salbutamol,26-45,400,23.59,642,437,0
2023-12-24,2023,12,24,Africa,South Africa,Diabetes,Metformin,46-65,258,13.44,12,432,0
2020-07-14,2020,7,14,Europe,Germany,Cardiovascular,Atorvastatin,46-65,355,29.37,922,229,1
2023-01-25,2023,1,25,Middle East,Saudi Arabia,Respiratory,Salbutamol,65+,94,16.2,1287,875,0
2020-07-27,2020,7,27,Oceania,New Zealand,Vitamin,Vitamin C,13-25,216,11.36,1603,510,1
2025-11-11,2025,11,11,South America,Argentina,Cardiovascular,Amlodipine,46-65,203,20.49,1529,285,0
2023-01-08,2023,1,8,North America,Mexico,Cough_Cold,Cough Syrup,13-25,109,10.79,1818,66,0
2020-02-15,2020,2,15,East Asia,China,Antibiotic,Amoxicillin,26-45,220,33.87,1210,136,1
2025-04-07,2025,4,7,South America,Argentina,Respiratory,Salbutamol,0-12,348,17.25,1298,959,0
2024-06-30,2024,6,30,Africa,Nigeria,Diabetes,Metformin,65+,199,12.4,56,283,0
2024-11-02,2024,11,2,North America,Canada,Cough_Cold,Cough Syrup,26-45,235,11.87,1722,883,0
2021-07-10,2021,7,10,Middle East,UAE,Chronic,Omeprazole,65+,304,45.82,584,898,1
2020-06-27,2020,6,27,North America,Mexico,Chronic,Omeprazole,13-25,164,42.52,1549,947,1
2023-12-09,2023,12,9,South America,Colombia,Cough_Cold,Cough Syrup,13-25,316,14.1,67,293,0
2024-07-29,2024,7,29,Africa,Nigeria,Vitamin,Vitamin C,26-45,73,10.94,1818,275,0
2022-04-15,2022,4,15,South Asia,India,Cardiovascular,Atorvastatin,65+,369,25.82,545,318,1
2021-08-23,2021,8,23,South America,Argentina,Antibiotic,Amoxicillin,0-12,353,33.62,1443,526,1
2021-08-29,2021,8,29,Oceania,Australia,Vitamin,Vitamin C,65+,359,9.17,695,515,1
2024-07-28,2024,7,28,North America,Mexico,Antibiotic,Azithromycin,26-45,131,29.91,100,657,0
2024-12-01,2024,12,1,Europe,UK,Chronic,Omeprazole,65+,233,44.63,974,599,0
2024-10-16,2024,10,16,Europe,Germany,Chronic,Omeprazole,46-65,326,35.66,204,637,0
2023-10-30,2023,10,30,Oceania,Australia,Respiratory,Salbutamol,26-45,49,20.38,521,929,0
2022-01-06,2022,1,6,Europe,Germany,Cough_Cold,Cough Syrup,13-25,287,10.96,1597,534,1
2020-07-04,2020,7,4,Middle East,Saudi Arabia,Cough_Cold,Cough Syrup,26-45,412,10.21,819,820,1
2024-08-14,2024,8,14,Europe,Italy,Cardiovascular,Atorvastatin,65+,318,23.31,1158,787,0
2021-11-17,2021,11,17,Oceania,Australia,Pain_Relief,Ibuprofen,26-45,474,6.61,381,790,1
2021-01-10,2021,1,10,Africa,Nigeria,Cough_Cold,Cough Syrup,0-12,101,11.06,1597,499,1
2022-08-25,2022,8,25,East Asia,Japan,Respiratory,Salbutamol,13-25,238,20.41,1645,106,1
2025-12-27,2025,12,27,Africa,Nigeria,Cough_Cold,Cough Syrup,13-25,252,10.08,1730,925,0
2022-07-05,2022,7,5,South America,Colombia,Respiratory,Salbutamol,26-45,129,22.41,970,745,1
2021-05-26,2021,5,26,Oceania,New Zealand,Antibiotic,Azithromycin,65+,398,32.92,206,756,1
2025-09-15,2025,9,15,Middle East,UAE,Chronic,Omeprazole,46-65,345,40.36,44,691,0
2021-04-10,2021,4,10,South Asia,India,Cough_Cold,Cough Syrup,0-12,323,10.57,750,606,1
2025-09-20,2025,9,20,Africa,Nigeria,Diabetes,Metformin,65+,158,17.8,1160,142,0
2025-10-24,2025,10,24,Oceania,Australia,Pain_Relief,Ibuprofen,26-45,255,8.69,866,808,0
2021-04-19,2021,4,19,Oceania,New Zealand,Cough_Cold,Cough Syrup,13-25,278,13.71,1457,891,1
2024-11-07,2024,11,7,South Asia,India,Cough_Cold,Cough Syrup,13-25,33,12.55,1697,687,0
2025-09-04,2025,9,4,Oceania,Australia,Antibiotic,Azithromycin,13-25,145,25.42,1004,480,0
2025-06-01,2025,6,1,South America,Colombia,Cardiovascular,Amlodipine,65+,183,29.41,279,580,0
2020-11-23,2020,11,23,North America,Mexico,Pain_Relief,Ibuprofen,26-45,391,8.76,1256,205,1
2021-06-14,2021,6,14,Middle East,UAE,Respiratory,Salbutamol,26-45,10,21.45,905,728,1
2020-12-12,2020,12,12,South America,Argentina,Vitamin,Vitamin C,46-65,294,9.86,41,136,1
2022-10-13,2022,10,13,Europe,Italy,Vitamin,Vitamin C,26-45,219,8.62,149,967,1
2020-03-07,2020,3,7,South Asia,Bangladesh,Cough_Cold,Cough Syrup,26-45,37,12.81,329,553,1
2025-05-18,2025,5,18,East Asia,China,Vitamin,Vitamin C,26-45,214,8.52,437,370,0
2023-10-08,2023,10,8,East Asia,South Korea,Pain_Relief,Paracetamol,26-45,313,8.84,1273,305,0
2022-04-22,2022,4,22,Africa,Nigeria,Antibiotic,Azithromycin,26-45,158,26.03,629,980,1
2025-11-25,2025,11,25,Europe,Italy,Chronic,Omeprazole,65+,223,44.96,1447,686,0
2020-02-04,2020,2,4,Middle East,UAE,Chronic,Omeprazole,46-65,215,38.03,39,793,1
2020-04-13,2020,4,13,East Asia,South Korea,Diabetes,Metformin,46-65,205,15.03,698,352,1
2024-11-24,2024,11,24,Europe,UK,Respiratory,Salbutamol,13-25,120,21.94,540,527,0
2021-08-06,2021,8,6,Africa,Nigeria,Cardiovascular,Amlodipine,65+,79,29.64,1268,208,1
2022-09-24,2022,9,24,Oceania,Australia,Antibiotic,Azithromycin,13-25,159,27.74,1732,156,1
2024-04-10,2024,4,10,Middle East,UAE,Chronic,Omeprazole,13-25,96,40.58,843,934,0
2022-09-25,2022,9,25,Europe,Italy,Pain_Relief,Paracetamol,46-65,342,8.5,342,922,1
2021-10-23,2021,10,23,South America,Argentina,Chronic,Omeprazole,46-65,42,39.26,1652,110,1
2025-05-27,2025,5,27,Africa,South Africa,Cardiovascular,Atorvastatin,46-65,113,22.9,484,496,0
2023-08-09,2023,8,9,Oceania,Australia,Vitamin,Vitamin C,13-25,21,11.94,454,859,0
2023-07-03,2023,7,3,Europe,UK,Chronic,Omeprazole,65+,494,45.13,509,573,0
2022-04-07,2022,4,7,East Asia,China,Cough_Cold,Cough Syrup,26-45,154,9.87,718,276,1
2020-03-13,2020,3,13,North America,Canada,Diabetes,Metformin,65+,202,13.89,813,63,1
2021-10-15,2021,10,15,East Asia,Japan,Vitamin,Vitamin C,0-12,350,10.84,379,184,1
2024-03-30,2024,3,30,Middle East,Saudi Arabia,Diabetes,Metformin,0-12,158,16.14,896,386,0
2024-07-09,2024,7,9,East Asia,China,Pain_Relief,Ibuprofen,0-12,96,6.91,1037,993,0
2023-04-09,2023,4,9,Europe,Italy,Pain_Relief,Ibuprofen,0-12,252,9.52,1429,773,0
2025-03-24,2025,3,24,South America,Argentina,Cardiovascular,Amlodipine,26-45,65,28.52,1013,832,0
2025-06-17,2025,6,17,South America,Brazil,Cardiovascular,Amlodipine,26-45,492,22.69,1402,326,0
2025-08-20,2025,8,20,East Asia,Japan,Chronic,Omeprazole,65+,310,47.94,379,220,0
2024-04-27,2024,4,27,Africa,Nigeria,Cardiovascular,Amlodipine,26-45,277,27.97,697,306,0
2023-12-25,2023,12,25,North America,Canada,Antibiotic,Amoxicillin,26-45,332,28.76,1418,470,0
2022-01-02,2022,1,2,Africa,South Africa,Vitamin,Vitamin C,46-65,228,10.81,1771,841,1
2020-04-07,2020,4,7,Africa,Nigeria,Vitamin,Vitamin C,13-25,132,9.84,1091,148,1
2022-01-15,2022,1,15,South America,Argentina,Vitamin,Vitamin C,46-65,450,11.55,955,903,1
2021-02-25,2021,2,25,East Asia,South Korea,Respiratory,Salbutamol,46-65,74,21.1,1185,757,1
2025-06-27,2025,6,27,Africa,Nigeria,Vitamin,Vitamin C,0-12,130,9.78,1739,732,0
2024-11-16,2024,11,16,Africa,Nigeria,Cardiovascular,Atorvastatin,65+,257,26.01,1258,71,0
2020-04-07,2020,4,7,East Asia,China,Antibiotic,Amoxicillin,13-25,494,26.48,1136,365,1
2024-04-01,2024,4,1,Africa,South Africa,Cough_Cold,Cough Syrup,13-25,25,13.21,1083,205,0
2024-01-27,2024,1,27,South America,Colombia,Diabetes,Metformin,65+,25,15.95,1289,237,0
2022-06-24,2022,6,24,North America,Canada,Respiratory,Salbutamol,46-65,70,17.59,377,675,1
2025-08-25,2025,8,25,Europe,Germany,Vitamin,Vitamin C,13-25,311,10.68,332,871,0
2021-04-22,2021,4,22,South America,Colombia,Chronic,Omeprazole,65+,451,44.81,26,450,1
2021-01-08,2021,1,8,North America,USA,Diabetes,Metformin,0-12,374,12.75,1082,701,1
2024-06-28,2024,6,28,South America,Colombia,Cough_Cold,Cough Syrup,65+,111,11.35,716,894,0
2020-01-28,2020,1,28,South America,Argentina,Diabetes,Metformin,13-25,324,12.15,1218,703,1
2020-01-21,2020,1,21,East Asia,South Korea,Antibiotic,Azithromycin,0-12,166,35.51,1402,988,1
2024-02-23,2024,2,23,Middle East,UAE,Respiratory,Salbutamol,26-45,287,16.08,1167,707,0
2021-06-07,2021,6,7,Europe,France,Antibiotic,Amoxicillin,26-45,190,26.69,655,457,1
2023-04-25,2023,4,25,Middle East,UAE,Cough_Cold,Cough Syrup,26-45,160,9.97,615,594,0
2020-06-12,2020,6,12,East Asia,China,Respiratory,Salbutamol,13-25,237,23.16,983,81,1
2021-01-24,2021,1,24,Europe,France,Cardiovascular,Amlodipine,65+,435,23.51,1224,750,1
2022-07-10,2022,7,10,East Asia,China,Cardiovascular,Atorvastatin,65+,280,20.26,72,680,1
2021-05-21,2021,5,21,South Asia,India,Pain_Relief,Paracetamol,65+,426,9.41,1110,279,1
2024-01-08,2024,1,8,North America,USA,Cough_Cold,Cough Syrup,0-12,392,12.99,43,732,0
2024-08-19,2024,8,19,Africa,South Africa,Respiratory,Salbutamol,65+,484,23.32,106,393,0
2022-05-22,2022,5,22,East Asia,China,Antibiotic,Amoxicillin,0-12,210,29.9,1015,325,1
2024-09-30,2024,9,30,Europe,UK,Cardiovascular,Atorvastatin,26-45,138,20.93,106,670,0
2020-09-24,2020,9,24,Oceania,Australia,Vitamin,Vitamin C,26-45,188,9.13,1135,550,1
